Game,Winner,Execution Time (s),Memory Usage (KB),Win Type
159,Smart,0.0043,0.75,Vertical
160,Random,0.0038,0.75,Horizontal
161,Random,0.005,0.75,Horizontal
162,Random,0.0063,0.75,Horizontal
163,Smart,0.0056,0.75,Vertical
164,Random,0.0051,0.75,Horizontal
165,Smart,0.0044,0.75,Vertical
166,Smart,0.0044,0.75,Vertical
167,Smart,0.0106,0.75,Vertical
168,Smart,0.0044,0.75,Vertical
169,Smart,0.0047,0.75,Vertical
170,Smart,0.0044,0.75,Vertical
171,Smart,0.0044,0.75,Vertical
172,Smart,0.0045,0.75,Vertical
173,Smart,0.0148,0.75,Diagonal
174,Smart,0.0044,0.75,Vertical
175,Smart,0.0056,0.75,Vertical
176,Smart,0.0044,0.75,Vertical
177,Smart,0.0056,0.75,Vertical
178,Random,0.0114,0.75,Vertical
179,Smart,0.0044,0.75,Vertical
180,Smart,0.0044,0.75,Vertical
181,Smart,0.0046,0.75,Vertical
182,Smart,0.0045,0.75,Vertical
183,Smart,0.0044,0.75,Vertical
184,Smart,0.0043,0.75,Vertical
185,Smart,0.0056,0.75,Vertical
186,Smart,0.0044,0.75,Vertical
187,Smart,0.0044,0.75,Vertical
188,Smart,0.0044,0.75,Vertical
189,Smart,0.0045,0.75,Vertical
190,Smart,0.0044,0.75,Vertical
191,Smart,0.0044,0.75,Vertical
192,Smart,0.0046,0.75,Vertical
193,Random,0.0089,0.75,Vertical
194,Smart,0.0044,0.75,Vertical
195,Smart,0.0047,0.75,Vertical
196,Smart,0.0044,0.75,Vertical
197,Smart,0.0044,0.75,Vertical
198,Smart,0.0134,0.75,Vertical
199,Smart,0.0044,0.75,Vertical
200,Smart,0.0097,0.75,Vertical
201,Smart,0.0044,0.75,Vertical
202,Smart,0.0044,0.75,Vertical
203,Random,0.01,0.75,Horizontal
204,Smart,0.0044,0.75,Vertical
205,Smart,0.0056,0.75,Vertical
206,Random,0.0038,0.75,Horizontal
207,Random,0.0076,0.75,Horizontal
208,Smart,0.0108,0.75,Vertical
209,Random,0.014,0.75,Vertical
210,Smart,0.0044,0.75,Vertical
211,Smart,0.0094,0.75,Vertical
212,Smart,0.0044,0.75,Vertical
213,Random,0.0063,0.75,Horizontal
214,Smart,0.0044,0.75,Vertical
215,Smart,0.0107,0.75,Vertical
216,Smart,0.0044,0.75,Vertical
217,Smart,0.0133,0.75,Vertical
218,Smart,0.0044,0.75,Vertical
